benchmark,task,model,valid_rollouts,M25,M50,M75,SR,MP,PPL,CRA,STR,DRR,FNS,SQS
RoboDojo-Sim,classify_objects_by_language,StarVLA,6,0.6666666666666666,0.16666666666666666,0,0,0.26709999999999995,0.06822318410133107,0.14954627750215183,0.5217391304347826,1,0.13355,0
RoboDojo-Sim,classify_objects_by_language,X-VLA,6,0.5,0,0,0,0.1786,0.036625699206305075,0.14819572567484876,0.6304347826086957,0.7079631289488413,0.0893,0
RoboDojo-Sim,classify_objects_by_language,X-WAM,6,1,0.3333333333333333,0.16666666666666666,0,0.40292857142857136,0.13861171817030132,0.08428880825302208,0.34782608695652173,1,0.2014642857142857,0
RoboDojo-Sim,classify_objects_by_language,Xiaomi-Robotics-0,6,0.16666666666666666,0,0,0,0.17455,0.04468228046179952,0.17564890468843095,0.6847826086956521,0.4373017205275107,0.08727499999999999,0
RoboDojo-Sim,deposit_coin,Pi-0,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.8626428571428572,0.3243147922021924,0.3219256340260015,0.1,0.7686612428035358,0.9281428571428572,0.7056823912810076
RoboDojo-Sim,deposit_coin,AHA-WAM,6,1,1,1,0,0.9140499999999998,0.4150303669954729,0.420678481926439,0.12,0.326667572283872,0.9570249999999999,0
RoboDojo-Sim,deposit_coin,Fast-WAM,6,1,0.6666666666666666,0.6666666666666666,0,0.8232999999999999,0.3913442958030646,0.38007586457955944,0.1,0.19156059516132845,0.91165,0
RoboDojo-Sim,deposit_coin,GalaxeaVLA (G0),6,1,0.8333333333333334,0.5,0,0.6711607142857141,0.35984301714882294,0.3166568777757566,0.12,0.39113540391542545,0.6855803571428571,0
RoboDojo-Sim,deposit_coin,GigaWorld-Policy-0,6,1,0.8333333333333334,0.6666666666666666,0,0.9240571428571427,0.35892642691620635,0.28288233583642663,0.04,0.8334665656754884,0.9620285714285713,0
RoboDojo-Sim,deposit_coin,GROOT-N1.7,6,1,1,0.8333333333333334,0,0.9177142857142857,0.3574972602113283,0.35388486365293736,0.04,0.6713508502138066,0.9588571428571427,0
RoboDojo-Sim,deposit_coin,Hy-Embodied-0.5-VLA,6,1,1,0.8333333333333334,0,0.9110999999999998,0.44626194236652916,0.3849712081684683,0.08,0.08871515188194885,0.9555499999999999,0
RoboDojo-Sim,deposit_coin,InternVLA-A1,6,1,0.6666666666666666,0.6666666666666666,0,0.8833499999999999,0.3430219348613694,0.3883420883393387,0.08,0.46221076638757885,0.9416749999999999,0
